distance,integrated_intensity_Pa_mm
505.0,64.78790931627337
510.0,66.4898528164357
515.0,68.05406688054654
520.0,69.33719358200224
525.0,70.18403033934815
530.0,70.46545560840033
535.0,70.08623415036732
540.0,68.98298742596391
545.0,67.1218815066678
550.0,64.4961381188991
555.0,61.122138856339014
560.0,57.036067847390306
565.0,52.29651213651227
570.0,46.99533618411673
575.0,41.27484039218091
580.0,35.37036552470817
585.0,29.934015805717003
590.0,25.948337888242563
595.0,23.556322350888905
600.0,23.128883335874445
605.0,25.10392713444203
610.0,28.770592265269446
615.0,33.877959538376814
620.0,39.5641933753276
625.0,45.00604336729507
630.0,49.89654894185454
635.0,54.11258790989122
640.0,57.591272947166026
645.0,60.31346295756132
650.0,62.30018654734782
655.0,63.60695017863286
660.0,64.30620125547489
665.0,64.48488288502715
670.0,64.26666556633856
675.0,63.821417680851226
680.0,63.340043268362315
685.0,63.41878812324798
690.0,64.42510628237203
695.0,65.64015217135658
700.0,66.78421429465222
705.0,67.69111813274017
710.0,68.2321014938039
715.0,68.29362664623676
720.0,67.76122980202707
725.0,66.60747905398303
730.0,64.75716663814289
735.0,62.0022194278703
740.0,58.30453107623403
745.0,53.685700808203485
750.0,48.215288288302574
755.0,42.020261538676614
760.0,35.324146688789135
765.0,28.88397758954458
770.0,23.368723038385372
775.0,19.78736665877029
780.0,21.538027663274043
785.0,25.960418204327397
790.0,31.278693253933447
795.0,36.88406741013374
800.0,42.496165647093555
805.0,47.866895886596645
810.0,52.74717698779624
815.0,56.93140282330842
820.0,60.2920744975058
825.0,62.770696023282376
830.0,64.37913428411859
835.0,65.18738393762308
840.0,65.3232081028877
845.0,64.96733895714985
850.0,64.30416586731259
855.0,63.46013460670469
860.0,62.500897185899895
865.0,61.93914971583921
870.0,62.08157893575428
875.0,62.50280941281171
880.0,62.87116733149779
885.0,63.03274199797668
890.0,62.85244557255689
895.0,62.18278470074233
900.0,60.885071181604935
905.0,58.849949602969254
910.0,56.010086203296126
915.0,52.34914724639007
920.0,47.90814592599798
925.0,42.78510820828045
930.0,37.13437696530367
935.0,31.24208495702011
940.0,25.743613890091297
945.0,21.84325771272238
950.0,22.95004986605737
955.0,26.826723931975344
960.0,31.666521586102224
965.0,36.968633046143644
970.0,42.31443788209185
975.0,47.5979362302885
980.0,52.795339640965366
985.0,57.421699511606704
990.0,61.32448167072991
995.0,64.48836876563085
1000.0,66.87092970436956
1005.0,68.42941928552534
1010.0,69.15358186935612
1015.0,69.08981390238166
1020.0,68.34663810156148
1025.0,67.08013950253645
1030.0,65.45636890829212
1035.0,63.63574520833165
1040.0,61.818713579798384
1045.0,60.58333921263447
1050.0,60.296986169956455
1055.0,60.45758341272722
1060.0,60.8353450860266
1065.0,61.16659941458163
1070.0,61.234678491152025
1075.0,60.88502718354904
1080.0,60.00431655174007
1085.0,58.53167353111238
1090.0,56.45830810449489
1095.0,53.77597609954342
1100.0,50.51644353570769
1105.0,46.819338882350046
1110.0,43.00651198911393
1115.0,40.134508760792016
1120.0,38.61229305507533
1125.0,37.93652320815373
1130.0,37.675853628666786
1135.0,37.86181160757217
1140.0,39.19559991983194
1145.0,41.271918361274544
1150.0,44.099525339459205
1155.0,47.28388654535132
1160.0,50.683755688654685
1165.0,54.27870550005492
1170.0,57.85136568365597
1175.0,61.209173229391105
1180.0,64.29643299281923
1185.0,66.64878471660478
1190.0,68.19341747567617
1195.0,68.89436354820866
1200.0,68.7506177510796
1205.0,67.80248441046672
1210.0,66.14492797871269
1215.0,63.97243934573976
1220.0,61.64681931267454
1225.0,59.615275898008555
1230.0,58.03190345187817
1235.0,56.50093159069321
1240.0,54.98974051693048
1245.0,53.53665396582666
1250.0,52.183220146882796
1255.0,50.896573767659746
1260.0,49.57634423088039
